ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
AADR,1825,0.011197349150610358,0.7438414864867392,1825,-0.023059627012217598,0.5872002168672518
AAXJ,1825,-0.09866129858517943,0.9664180365910087,1825,-0.1298572648744946,0.7160048900770888
ACWI,1825,-0.04990927893663161,0.9489789735174003,1825,-0.07116701985884905,0.6700525207850955
ACWV,1825,0.005412705208971707,0.6316558168834743,1825,-0.0026411187460573158,0.4245209165870898
ACWX,1825,-0.10640396286704745,0.9107635142530589,1825,-0.12486275405908714,0.6362240251515552
ADRA,1825,-0.03627193050501188,0.7372792570946691,1825,-0.054119830133746695,0.5252704976781895
ADRD,1825,-0.12095620508640931,0.878893709624939,1825,-0.13062362541752712,0.5852620925677448
ADRE,1825,-0.14042393181505797,1.0477299429654203,1825,-0.17715218483191916,0.7864918337033956
ADRU,1825,-0.09994170940752035,0.7209347803519282,1825,-0.10810975078266212,0.4809149078654733
AFK,1825,-0.19603870465668882,0.7258739947276068,1825,-0.20903358962728721,0.5010189977943741
AGG,1825,0.012296465517023552,-0.04652976772637476,1825,0.012531731113570027,-0.03001019536319039
AGND,1534,-0.05932408645652612,0.10254099713802158,1534,-0.062408821786368425,0.06716012912824582
AGQ,1825,-0.2540631881094681,0.2313711419479016,1825,-0.2535108516769572,0.1431590518598938
AGZ,1825,0.01378136343548934,-0.04526831245515875,1825,0.014684163128250863,-0.03157099679710128
AGZD,1534,-0.013979460344197843,0.034038902881262045,1534,-0.015272931227100018,0.02325523664661044
AIA,1825,-0.0668151453737174,0.9551908546540628,1825,-0.09839106055168291,0.7103024056126092
ALFA,1825,0.0030944938392605446,0.947011209298636,1825,-0.032372359346185854,0.7188814817599545
ALT,1825,3521.766331786481,284.94827610511425,1825,3530.3202868279222,148.56796075057784
AMJ,1825,-0.24850138669884012,0.890858351018272,1825,-0.2501530992466902,0.5645239619722817
AMLP,1825,-0.24746110465496887,0.8069611528095784,1825,-0.25350772271765804,0.5273921806279422
AMU,1825,-0.24885623320262593,0.8856883848407289,1825,-0.2515284933076217,0.5648773035649346
AND,1725,-0.20427024906763624,-0.090188805458951,1725,-0.20088137422361232,-0.06499161154750957
ANGL,1825,-0.013322901845115979,0.22144907410028125,1825,-0.017065788809908135,0.15206978367235363
AOA,1825,-0.03366319740810001,0.7591384298254342,1825,-0.05125210153203878,0.5380670226766354
AOK,1825,-0.008373584947062902,0.26410128295406415,1825,-0.015211198794927928,0.18972291346165426
AOM,1825,-0.014601442211799289,0.37600498103318997,1825,-0.024039903194832873,0.2690672319059957
AOR,1825,-0.02329616255680572,0.5608068215204752,1825,-0.036366948410373696,0.39776404957020733
ARGT,1825,-0.0691097117888913,1.0744250940166051,1825,-0.09566627714079427,0.7673958093923733
ASEA,1825,-0.11933365199058257,0.7206470158529787,1825,-0.1345032004911443,0.5054028874100569
ASHR,1563,-0.040537475933982735,0.9450228987478302,1563,-0.09012930912276884,0.6980078264142714
ATMP,1725,-0.042820189240101066,0.03354236677989429,1725,-0.04809595785264534,0.037992872422173835
AXJL,1825,-0.11608273171837724,0.8189700491729769,1825,-0.13733453011246752,0.588496098574006
BAB,1825,0.042155469733341895,-0.1260376234218196,1825,0.04249172561857733,-0.08022960401225507
